FYEAR,DLRSN,CUSIP,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1999,       0,00036020,0.307139483,0.887005715,1.647680762,-0.199157597,1.092963959,-0.313288673,-0.196793318,1.206762812,0.282470912,0.158896251
1999,       0,00036110,0.760736496,0.592493372,0.453002755,-0.369890143,0.186153945,0.039619071,0.327497319,0.428418062,1.106965205,0.793442755
1999,       0,00037520,-0.513596083,0.337614773,0.299014546,-0.029079962,-0.432604675,0.82999324,-0.707786127,0.476153279,2.179175451,2.4845845
1994,       1,00078110,-0.466129332,0.370746659,0.496066653,-0.373428966,-0.267423988,0.977798881,-0.610975074,0.456809847,0.15195105,0.047788514
1999,       0,00079X10,2.023422271,0.214876406,0.182594782,6.6953604,-1.148338079,-1.505889267,2.876476871,0.287374933,-0.986442053,0.791076735
1999,       0,00086T10,0.907498517,0.386879734,0.477891386,-0.34715872,1.407989257,-0.483902305,0.070259441,0.52781095,0.502465945,-0.164648016
1999,       0,00088630,0.438145308,0.980612124,1.066970122,0.664317524,-0.074697329,-0.845530854,0.000106464,0.461060649,1.357504124,2.105166646
1999,       0,00088U10,-1.086156313,-2.241779108,-2.064231759,0.498931755,-0.919495379,0.10610267,-0.875462329,-2.208174586,-1.187234181,0.000899815
1987,       1,00089310,-4.382767927,-2.241779108,-2.064231759,-0.407475803,0.585853193,5.110424207,-1.227033748,-2.208174586,-1.073644862,-1.308669845
1999,       0,00089N10,0.469570906,0.325610419,0.997730929,-0.21048379,0.117501113,-0.331458472,-0.124313444,0.733277356,0.493847491,0.589623062
1999,       0,00090710,-0.300402422,0.553180057,0.246777428,-0.348660189,0.033607873,-0.212612287,-0.442578801,0.218924464,0.208682802,-0.10541647
1999,       0,00095510,-0.518823351,-0.264530113,0.279493816,-0.244917939,0.072414159,0.163959559,-0.669565039,0.139257948,-0.315598702,-0.234566364
1999,       0,00095710,0.30467047,0.68667538,0.638302343,-0.306270688,1.897217135,-0.097791558,-0.254030468,0.580003585,1.291080033,0.953790803
1999,       0,00097310,0.615013361,0.20797633,0.226997107,-0.25160153,0.58070638,0.087014962,-0.258270951,0.217374932,0.953904077,1.017449084
1999,       0,00100410,-0.262230773,-2.241779108,-1.495916943,2.073545227,-0.345872181,-1.089083714,-0.326619575,-0.878729697,-1.247744027,-0.507020076
1999,       0,00100T10,1.629597025,0.27166142,0.94067298,0.279768947,-0.812347363,-1.001289917,1.223102194,0.775800107,-0.627868496,-0.038863245
1999,       0,00103110,-0.469896629,0.234746953,0.321096624,-0.395818384,0.094078755,1.047824194,-0.632700958,-0.070852526,0.938679161,0.591963836
1999,       0,00105810,0.851574717,-0.670371397,-0.640203167,-0.406093489,0.999099176,0.30307069,0.514454311,-0.92700416,-0.301290347,-1.311960758
1999,       0,00108410,0.291020231,0.431432466,0.05352931,-0.394124134,-0.177206057,0.326538798,-0.217285189,0.081645021,1.446737025,1.132722243
1999,       0,00120410,-0.854134044,0.285965665,0.339290223,-0.384075541,-0.765176121,0.415023411,-0.930939098,0.384991953,1.123739708,1.19819773
1999,       0,00130310,-0.134876203,0.241647852,0.538176032,-0.383035892,0.460033236,-0.165513644,-0.549243646,0.518065195,0.015389424,-0.667820776
1999,       0,00130H10,-0.744706367,0.122801147,0.108463764,-0.371456696,-1.203415456,0.889750446,-0.774561621,0.187160985,1.565121443,2.446659816
1983,       1,00132010,-1.439989122,-0.418259051,-1.586942623,-0.330460098,0.005709132,0.625996529,-1.063494695,-1.693321497,-0.068022506,-0.109728289
1990,       1,00142310,-3.327218048,-1.515459779,-2.064231759,-0.417673192,-0.000187777,2.799707849,-1.070144845,-2.208174586,-0.24861514,-0.935588976
1999,       0,00143T10,-0.14227403,-2.241779108,1.243888656,-0.313634219,0.506433038,0.103895335,-0.603765476,0.741172805,-0.615570959,-0.907458813
1999,       0,00154710,-0.398282795,-0.029524106,0.256458489,-0.395560085,-0.446684373,0.692082994,-0.439033865,0.198081771,1.674352413,1.558233118
1999,       0,00162710,0.004949391,-1.483834294,-1.849061317,1.037254727,-0.8831242,-0.505640099,0.05472457,-1.891007546,-0.616406928,0.615314218
1999,       0,00162H10,1.24812455,-0.070526981,-0.131540184,0.043669516,-0.69198246,-1.043737051,0.98440063,0.339991547,-0.358261844,-0.033257906
1999,       0,00163010,-4.382767927,-2.241779108,-2.064231759,-0.334388122,-0.063470914,5.110424207,-1.136957016,-2.208174586,-1.950156913,-1.582388316
1999,       0,00163U10,1.798830192,-0.95379508,-2.064231759,1.366365958,-1.248484679,-1.505889267,2.876476871,-0.939495617,-1.176902876,-0.481042874
1999,       0,00167K50,-4.382767927,-2.241779108,-2.064231759,-0.040866167,-0.492842136,5.110424207,-1.190870574,-2.208174586,-2.62823463,-1.363475682
1999,       0,00171210,-0.368199909,-0.308212221,0.394235569,0.336951149,-0.333700402,-0.438033231,-0.462171863,0.001430181,0.466449547,1.235044899
1999,       0,00173310,1.291697359,0.042041606,-1.391714109,0.473876868,-0.552184575,-1.067911898,1.189171084,-0.912151121,-0.823079213,-0.367792714
1999,       0,00176510,-0.937335672,0.528614574,0.129565005,-0.393304537,-0.555835612,0.582465742,-0.906004306,0.381917603,2.179175451,2.250340265
1985,       1,00178510,-4.382767927,-2.241779108,-2.064231759,-0.3902398,1.157234955,5.110424207,-1.187606598,0.818100093,-1.851282313,-2.10833321
1999,       0,00178W10,-0.028970629,0.228285362,0.686358142,0.333176764,0.709590976,-1.137008174,0.036046673,0.807998738,-0.408208736,-0.448374928
1999,       0,00185E10,-0.040694793,-0.181020402,0.531348834,-0.199809915,0.668772102,0.81504627,-0.350348189,0.272826816,0.760631468,1.052063384
1999,       0,00191240,-0.661467372,0.438759023,-0.071365141,-0.396031589,-0.338365377,0.318274163,-0.748054946,0.628509841,-0.355404372,-0.846797362
1999,       0,00193020,-1.294320565,-2.241779108,-1.210461807,-0.232960263,-0.665526628,-0.019202883,-1.040433147,-0.988352216,-0.627868496,-0.289418582
1997,       1,00193710,-1.321927052,-0.367401649,-0.391866789,-0.427117541,0.511542787,1.328904872,-0.875675481,-1.17733852,1.015322068,-0.69869185
1999,       0,00194010,0.475668339,0.587178625,0.545922692,0.082307817,-0.291506922,-0.502789239,-0.028072477,0.54292581,0.845721778,1.438052566
1999,       0,00198610,-0.647070647,-0.252020772,0.310278701,-0.26270356,-1.085107496,-0.521069526,-0.478454035,0.504711813,0.293284476,0.895441184
1991,       1,00202410,-4.242508648,-1.70409872,-1.198416524,-0.427117541,0.525407188,3.749895676,-1.124681114,-2.199713871,0.220135195,-1.459072741
1999,       0,00202J20,0.543641869,-2.241779108,0.620936886,-0.039286491,-0.396356279,-0.125913527,0.341322308,0.781512094,-0.445688837,0.045829535
1999,       0,00203R10,0.671421545,0.378645041,-0.154397884,-0.301727484,-1.214905224,-0.742206012,0.597636344,0.86250757,-0.003849626,0.603211936
1985,       1,00205830,-0.583576449,0.74234426,0.484150299,-0.28828358,-0.655100959,0.085406731,-0.7117597,0.359631175,-0.896405794,-0.714645758
1990,       1,00206210,-1.40641859,-2.241779108,-2.064231759,-0.338570281,-1.337895653,2.3069848,-0.913152937,-2.208174586,-1.937407002,-0.440812475
1999,       0,00206P10,-0.751248289,0.179007588,0.355909135,-0.386039533,-0.874889582,0.39363076,-0.780645215,0.366087181,-0.013700207,-0.011832605
1999,       0,00206R10,-1.032672205,0.387126434,0.750061638,-0.239707148,-0.706171854,0.454920501,-0.977263505,0.762519673,2.179175451,2.4845845
1983,       1,00207110,-0.691770798,-1.050963583,-0.995629953,-0.353299528,0.037946475,0.358053411,-0.762843199,-0.943374072,-0.55270902,-0.834384542
1999,       0,00207R10,0.9281089,0.509431288,0.58982628,0.618477196,-0.424369349,-0.875025291,0.588458019,0.414386388,0.451777011,1.193583361
1999,       0,00208310,2.02262297,-0.247310146,0.004501157,6.6953604,-1.056231696,-1.505889267,2.876476871,0.400085494,-0.507442996,0.646212876
1991,       1,00208L10,-1.928871697,-2.241779108,-0.687235658,-0.36227235,3.51072971,1.201968418,-1.168750838,-1.211803536,-0.898652879,-1.66888732
1999,       0,00209C10,0.315862228,-0.01310222,0.047359972,-0.413098227,1.909281081,0.617426924,-0.258966077,-0.42514879,0.239878691,-0.936447055
1999,       0,00209G20,-1.667417401,-1.521412225,-1.598640706,-0.204198823,0.239071763,0.666239112,-1.078924739,-1.726548435,-0.237254675,0.003047289
1999,       0,00210S10,-0.670071159,-0.330289793,-0.426538341,-0.151359023,-0.558773816,-0.263405792,-0.740306676,-0.456816611,-1.15155993,-0.856946998
1999,       0,00211W10,-0.197832286,0.243676902,0.388800129,-0.392446392,-0.307181729,0.539920382,-0.327608024,0.190391709,0.871041649,0.605403444
1999,       0,00234610,1.89229389,-2.241779108,-2.064231759,5.069827657,-1.363863457,-1.376838234,2.876476871,-2.208174586,-2.763557265,0.154183845
1999,       0,00244410,0.639441423,0.998075864,0.950627047,0.883255126,0.031743016,-0.858074404,0.262142404,0.907145775,1.291215521,2.069899812
1999,       0,00245810,-2.008369226,-2.241779108,-0.42610285,-0.192619868,2.366036201,2.384419186,-0.95312872,-1.273516515,-0.032395777,0.130684972
1999,       0,00246W10,0.376823937,0.306537851,0.220488618,-0.034559949,-0.582121257,-0.210160999,-0.092965793,0.124864136,0.103479141,0.733100667
1999,       0,00247410,-0.173556838,0.726712354,0.780821005,-0.368459766,-0.14362946,0.250855929,-0.380329588,0.628444578,0.153763167,-0.105112495
1999,       0,00253994,-0.086391541,0.279184839,0.286620851,-0.327120518,-0.319809356,0.368485624,-0.377689877,0.307895662,0.486585837,0.590621487
1999,       0,00253U10,1.952728875,-2.241779108,-2.064231759,0.906366924,-1.275293707,-1.292631546,2.876476871,-2.208174586,-1.691643747,-0.478421377
1999,       0,00256410,0.108917182,0.773890558,0.312807066,-0.405870941,1.9155526,0.22814636,-0.547970867,0.315267597,-0.138956413,-1.288369143
1999,       0,00256710,0.169535023,-2.241779108,-0.486324232,0.811226461,0.486801584,-0.129690864,-0.427884387,-0.155219419,-0.394278378,0.330842455
1999,       0,00282410,-0.324372769,0.810911138,1.364089958,0.086699032,-0.348284331,-0.129499584,-0.558400251,1.231134894,2.119785532,2.4845845
1999,       0,00289620,0.392333253,0.851934948,2.142463254,0.530464202,1.196731186,-0.638283518,-0.164216403,2.000564954,1.113766568,1.577367916
1999,       0,00292220,0.577676266,0.55649936,1.887319984,0.1135776,2.643213099,0.02041975,-0.377059894,1.360449868,0.172690659,0.300750814
1999,       0,00365410,2.023422271,-0.473231082,-0.831056349,2.597731051,-1.170457716,-1.400326769,2.876476871,-0.451787578,-0.406638484,0.840273569
1999,       0,00368710,-0.652157396,0.378270468,-0.026538092,-0.359292411,-0.848659947,0.170086563,-0.601516619,0.229218186,1.398100236,1.704667409
1999,       0,00370910,-0.005455723,0.140988082,-0.49000179,-0.285791148,0.74236021,-0.244884643,-0.36773844,-0.150350466,-0.460234136,-0.790782504
1999,       0,00371F20,-0.177911518,-0.718190917,-2.064231759,6.6953604,-1.011581888,-1.246963134,-0.026155775,-2.208174586,-1.684065891,0.159073419
1999,       0,00374N10,0.16876242,0.048561476,-0.311739527,-0.080296259,-1.358386578,0.023907673,1.578161025,-0.076616892,0.071726544,2.314327352
1999,       0,00383010,-0.82022432,-0.612824669,-0.420246643,-0.425769677,-1.145204923,1.436828509,-0.922595832,-0.636523873,0.024337434,-0.479067763
1988,       1,00387030,-2.136422467,-2.241779108,-2.064231759,-0.414432788,0.02714062,5.110424207,-1.057109177,-2.208174586,-0.6433649,-1.048662127
1999,       0,00388130,1.731936078,-0.449975122,-1.436705854,6.6953604,-1.363863457,-1.505889267,2.876476871,-0.930108421,-2.475515179,0.832846367
1999,       0,00388N10,-0.733977068,-2.241779108,-2.064231759,-0.26564761,-0.415840675,-0.009269929,-0.769478074,-2.208174586,-1.062533319,-0.986748479
1999,       0,00391010,-0.102995051,-0.41989822,-0.149899654,-0.400756545,-0.40747348,1.553432789,-0.306883043,-0.356654716,0.606728973,0.412751757
1999,       0,00430420,1.759036252,0.595347189,-0.443212262,0.076903748,-1.14662248,-1.223027572,2.876476871,0.14789928,-1.21953806,-0.651416837
1999,       0,00430E10,1.389002782,0.458559203,-1.287467689,0.003819813,-0.804783014,-0.779716288,0.497349914,0.544193723,-0.940427067,-0.477943315
1999,       0,00430U10,0.748628149,-0.843238685,-0.182534488,0.192642881,-0.447118777,-0.468472839,-0.055941487,0.312284103,0.199879641,0.88353035
1994,       1,00431530,-0.445275603,0.012050331,-0.187857685,0.096372404,-0.937542561,-0.553071424,-0.585149611,0.186437738,-0.817779293,-0.032795698
1999,       0,00431910,-0.507499197,-0.137690598,-0.213974265,-0.405121632,-0.526400894,0.02524986,-0.534218453,-0.122505446,0.108284354,-0.449993705
1999,       0,00431M30,-0.685797691,-2.241779108,-2.064231759,0.370302711,-1.363863457,-0.965714711,-0.731490455,-2.208174586,-2.763557265,-0.724911028
1981,       1,00437710,0.08503838,0.061398306,-0.584403113,-0.231934427,-0.591046446,-0.337553255,0.050543204,-0.377113652,-1.221045881,-1.093265826
1999,       0,00437W10,-0.143819691,-0.25532017,-0.947975461,6.6953604,-1.247092493,-1.453725282,0.995549189,-0.751714835,-0.476822915,1.330172658
1999,       0,00440410,0.621609431,-0.483093878,-0.020153728,-0.065030769,0.416867592,-0.766740872,0.028135034,0.333301583,-0.297434722,-0.333692417
1999,       0,00440P10,-0.817836595,0.061725382,0.315762306,-0.416931689,-0.280143618,1.1143106,-0.832543128,0.32483205,1.84012882,1.316096089
1999,       0,00443E10,-0.62585902,0.281022864,-0.02568821,-0.296727353,-0.519249104,-0.040524682,-0.702652562,0.241999009,0.920934966,1.182169026
1999,       0,00444610,1.09891093,0.750735117,0.38997348,-0.206939027,0.84471659,-0.860278659,0.479389975,0.58189498,0.392977201,0.07455912
1999,       0,00449810,0.120952822,0.530450755,1.248382409,0.106889435,-0.160153939,-0.651532027,-0.300754817,1.010833007,0.686584912,1.166968085
1999,       0,00450D20,-0.002893519,0.510536556,0.317929537,-0.416355757,0.504370266,0.44034579,-0.537833239,0.269462912,0.886151575,-0.097057273
1999,       0,00463110,-0.529633921,0.105916655,-1.002849496,-0.301572414,-1.213170615,0.491199244,-0.227858755,-1.031354359,-0.017997974,0.971653472
1999,       0,00472410,-0.408037752,-0.349067028,-0.416604482,-0.427117541,-0.630427691,1.5104674,-0.298604033,-0.474098037,0.796710771,-1.342625982
1999,       0,00481610,0.329954366,-0.171668583,0.006102982,-0.411585856,0.491719226,0.423562698,-0.358376079,0.804447226,-0.239662633,-1.225205477
1999,       0,00484810,0.581927106,-0.183418542,-0.977735823,-0.361900642,-0.450632183,-0.111075066,-0.287689572,-2.049460453,-0.181717895,-0.404239349
1989,       1,00491110,-0.692813122,0.227997745,0.278101894,-0.416363215,-0.10709458,0.925197593,-0.747266928,0.211293888,0.144250153,-0.660008106
1999,       0,00492010,0.745102307,0.192504847,-1.039660126,-0.295972236,-0.115441218,-0.422907158,0.320604304,-0.176965977,-0.93894108,-1.19064587
1999,       0,00493020,0.915603831,0.040404831,0.678287257,-0.315765747,0.755762857,0.13782675,0.025021451,-0.611707426,0.884115652,0.716583844
1999,       0,00493410,0.602849298,0.580033259,0.455342947,0.002630137,-0.629666024,-0.669386899,0.043212595,0.564395857,0.398728328,0.956405404
1999,       0,00504X20,-0.45396778,-2.241779108,-2.064231759,3.445740523,-0.626336171,0.052969215,-0.688781133,-2.208174586,-1.845269742,-0.334241712
1999,       0,00508B10,0.50249746,-0.402342026,0.204313546,3.113415442,-0.387096675,-0.373176016,-0.28077951,0.595779496,-0.116723802,1.308351237
1999,       0,00508X20,-0.578342834,0.546357501,0.629889592,-0.365968373,-0.159039935,0.65680823,-0.640529643,0.437734153,1.319549968,1.310003053
1999,       0,00509L70,-2.080907238,-2.241779108,-2.064231759,-0.414113666,-0.34449439,5.110424207,-0.995823559,-2.208174586,-0.675815975,-0.67955294
1999,       0,00512510,-0.28164553,0.523464557,0.81010735,-0.064435376,-0.391378718,-0.186193991,-0.314610024,0.654929058,1.083085288,1.707102559
1999,       0,00622820,1.334718419,0.039126865,-1.709937319,0.059060881,-0.644715071,-1.445235751,2.876476871,-0.725300894,-0.059825024,-0.237448546
1999,       0,00635130,-0.533993257,0.262990399,-0.007122229,-0.421005924,4.036249207,1.068904199,-0.736620172,0.258978882,1.646633573,-0.24575087
1997,       1,00650P30,0.822215923,-2.241779108,-0.509927692,-0.290598489,-0.61419662,-0.615442587,0.015420068,-1.460099461,-1.171654535,-1.288635377
1999,       0,00651F10,0.84934912,1.177463151,1.026615853,0.115122401,-0.697328548,-0.548740417,0.755112069,0.952785574,1.014452486,1.842978847
1999,       0,00674330,0.973782433,-0.689643923,1.992354776,-0.147255237,-0.088959006,-0.628294789,0.082197029,2.000564954,-0.452805757,-0.407694112
1999,       0,00675410,0.097443065,0.073386588,-0.079979357,-0.176964535,1.256209345,0.517289809,-0.465004947,-0.029697738,2.072113663,2.392407837
1999,       0,00685420,1.447459422,0.231104107,0.1399774,-0.065127986,-0.046571563,-0.957388084,0.860668512,0.363487865,0.105932532,0.138433922
1999,       0,00685Q10,-0.272979716,0.466194516,-0.824542491,0.012917035,-0.391408615,-0.254975491,-0.519422427,-0.638622325,-0.629224434,-0.146179808
1999,       0,00687R10,-3.571409286,-2.241779108,-2.064231759,-0.318548252,0.213886846,2.072893203,-1.183475885,-2.208174586,-1.63084643,-1.65068596
1987,       1,00690210,-4.382767927,-2.241779108,-2.064231759,-0.405053538,3.928468127,5.110424207,-1.233402895,-2.208174586,-1.922629338,-2.184097209
1999,       0,00709410,0.032063325,0.511493089,0.357656202,-0.037714615,4.036249207,-0.226333239,-0.481483384,0.533451691,1.420845725,0.832568389
1999,       0,00709P10,-1.008732799,0.54896096,0.766678925,-0.145726846,-0.763664942,-0.624772843,-1.07919125,0.879669285,0.420437182,0.901947706
1999,       0,00724F10,0.674555047,1.485390003,2.142463254,1.378731399,0.05114753,-0.509922624,-0.085873652,2.000564954,1.103505624,2.162131571
1999,       0,00738A10,0.299966891,1.15421893,0.71720889,0.38942088,-0.632103365,-0.761504766,2.856391698,0.719817416,0.700219495,1.533734196
1999,       0,00739110,-0.655908495,0.029300589,0.297762652,-0.390091182,-1.202808535,1.378838847,-0.707660196,0.319816029,-2.478778474,-2.172489998
1984,       1,00753110,-1.731874691,-2.241779108,-2.064231759,-0.417982141,-1.360646728,5.110424207,-0.909410332,-1.648160736,-2.763557265,-2.213994822
1989,       1,00753R10,-1.044410953,-1.197889,-0.393595901,-0.414192294,0.238061512,0.632104375,-0.851056123,0.201631551,-1.020050763,-2.058628412
1999,       0,00753U10,-0.476310644,-0.311395682,-0.277307572,-0.395823352,1.069886291,0.876407324,-0.713785932,-0.243608369,-0.234051453,-0.975728434
1999,       0,00754B10,-1.055378833,-2.241779108,0.455883612,-0.137812771,-0.642243234,-0.382805965,-1.009900756,2.000564954,-1.760258784,-1.510438123
1999,       0,00754E10,1.82458817,-2.241779108,-0.758406123,4.488490055,-0.633642252,-1.395967129,2.876476871,-0.351380029,-0.925095214,-0.080068912
1999,       0,00754V10,0.628569246,-2.241779108,-2.064231759,3.85813408,-1.190692188,-0.614760153,1.280953796,-2.208174586,-2.105769726,-0.193050457
1999,       0,00756J10,-0.350320228,-1.308119325,-1.239356399,-0.344939785,3.605903076,1.044439804,-0.689489349,-1.136237128,-0.177022855,-0.794053846
1999,       0,00756M40,-0.509675723,0.336321161,0.232624088,-0.096991926,-0.902187359,0.058856521,-0.609134475,0.780675624,1.120068814,2.099702569
1999,       0,00758610,-2.643203618,-0.053761755,-0.751297822,-0.427117541,0.762058467,1.246238105,-1.189048119,-1.373123539,0.421609678,-1.951009699
1999,       0,00760J10,1.653233805,0.074566181,-1.050936547,-0.028460863,-0.698301399,-1.139547643,1.844499685,-0.307311168,-0.373092976,-0.199204603
1999,       0,00762L10,-1.009241316,0.288269325,0.501998873,-0.246836986,-1.01106178,-0.339866001,-0.977341906,0.667037991,-0.411457129,0.114850838
1999,       0,00762V10,-0.504142655,0.264365678,-0.046839865,-0.425395564,-0.855683916,1.179607497,-0.723478126,0.202116191,0.484490932,-0.322348308
1999,       0,00765G10,0.135089853,-2.241779108,-2.064231759,-0.377787811,-1.085847535,-0.000588692,-0.426438296,-2.208174586,-1.349512471,-1.287304486
1991,       1,00769810,1.205231351,0.404386503,-0.470222036,-0.417138642,-0.017708188,0.282742837,0.681544499,-0.520006009,-0.404198442,-1.458836799
1999,       0,00790310,-0.380554841,0.460849035,-0.6262747,-0.313838538,-0.640406006,0.058222544,-0.49227082,-0.019104872,1.513738914,1.878959677
1999,       0,00792810,-0.614721451,-2.241779108,-2.064231759,0.252288312,-1.363863457,4.249208477,-0.700936228,-2.208174586,-2.763557265,-0.034879204
1999,       0,00794710,-1.540433761,-1.27072098,-0.408467717,-0.243342542,-0.662603708,1.070907116,-0.92476556,-0.194387598,-0.455286358,0.108020468
1995,       1,00795210,-1.781084351,-2.241779108,-2.064231759,-0.388451195,-1.182195596,1.456180314,-1.086907006,-2.208174586,-0.956798642,-0.488549416
1999,       0,00797310,1.845821527,0.371984961,0.35694421,0.11991098,-0.712776789,-0.012905583,2.876476871,0.470997362,0.4261597,1.377990995
1999,       0,00797410,1.302809055,0.388450993,0.580152724,1.569954282,-0.778118751,-1.1335455,1.360420197,0.717532987,0.190622899,1.205090726
1999,       0,00797520,1.462088058,-0.048762604,-0.767857457,2.336763279,-1.265222428,-1.29923827,2.876476871,-0.312689993,-0.920692623,0.657794406
1999,       0,00801530,0.835917927,0.673762212,0.099009377,-0.156031451,-0.222304052,-0.258200563,0.160846427,0.190442904,-0.393579209,-0.166708625
1999,       0,00808M10,-0.062127418,0.50857145,0.102234922,-0.406132902,0.394245598,0.36870736,-0.392708056,-0.209978592,0.223850393,-0.579798738
1999,       0,00817R10,0.651227799,0.051889156,-1.429973615,0.222878493,-0.71753729,-1.325764239,1.556944367,-0.82071395,-0.207714251,-0.001106315
1999,       0,00819010,-0.236807697,0.534405786,0.684132737,-0.167906847,0.140554008,-0.077764186,-0.321421211,0.580425664,1.294109513,1.63684811
1999,       0,00825210,-0.288574417,0.281412976,1.388166863,-0.268627794,-0.733477418,-0.366503312,-0.381142527,0.639435588,0.837186335,1.198025473
1999,       0,00826M10,0.38850909,-2.241779108,-2.064231759,0.109726566,-1.13185195,-1.048810832,0.533392772,-2.208174586,-1.222697344,-0.494146696
1999,       0,00826T10,1.549683905,-0.521087814,-0.774519347,1.093480412,-1.037339697,0.187362405,2.733404358,-0.360894086,0.17181559,1.893326952
1999,       0,00832T20,-0.301908219,0.381007742,1.1686011,-0.379342563,-0.890754,0.084061977,-0.244215743,0.688857516,-0.741972029,-0.823935231
1999,       0,00847410,-0.479264866,0.046122633,-0.509838859,-0.261643967,-1.265923333,-0.005016578,0.008041167,-0.214311938,-0.298130527,0.828325901
1999,       0,00847J10,0.702958474,0.510238845,0.425082393,-0.394705232,1.218175494,0.551754988,0.09278546,0.353407722,1.468689319,0.856728669
1999,       0,00848950,-0.381090236,0.473658388,0.239303844,-0.386848111,0.299536753,0.180640336,-0.646989859,0.286131765,1.19952595,0.755170623
1993,       1,00887810,-0.424654924,0.402313198,-1.108270523,-0.307198603,0.378586688,-0.410152831,-0.628752139,-0.685463724,-0.012571085,-0.334188829
1999,       0,00891610,-0.461659735,0.339406589,0.346898531,-0.382223697,-0.38755366,0.248968845,-0.584634307,0.330791107,1.311534946,1.17569395
1999,       0,00900N10,0.380177782,-0.161011257,-0.337797295,-0.079518404,-0.535712797,-0.670354043,-0.109821317,-0.611245024,0.204788118,0.59305266
1982,       1,00910010,-2.814076722,-0.864322898,-1.274468018,-0.414873146,-0.393617078,2.507272774,-1.172733554,-2.208174586,-0.81827627,-1.364067488
1983,       1,00911410,-3.941985561,-1.257448228,-0.63101279,-0.419640744,0.048958386,2.705424831,-1.200326064,-1.382869761,0.493707553,-0.206630273
1999,       0,00912010,2.023422271,0.939218726,-1.880919504,6.6953604,-1.363863457,-1.475056605,2.876476871,-1.494314102,-2.652869141,0.275169621
1999,       0,00912830,-0.510351236,-0.580927023,0.372160654,-0.385585171,-0.345619142,0.215628978,-0.550205126,0.477790682,-0.036597434,-0.392059287
1999,       0,00915810,-0.776770752,0.84413231,0.399987198,-0.351595471,-0.689341876,0.29478476,-0.7991636,0.476285336,1.7371466,2.043440884
1999,       0,00920710,0.16247048,0.23704015,0.084391019,-0.387718244,1.405256475,0.259090871,-0.509260886,0.214923441,-0.025750911,-0.831016549
1999,       0,00927V20,-0.506434918,0.346661477,0.597630574,-0.340459257,-0.223083669,0.042206716,-0.629218638,0.53072298,0.257140339,0.154051862
1999,       0,00936310,-0.397486403,0.447613322,0.256476148,-0.401476436,-0.375338126,0.612261071,-0.328946611,0.26039947,1.269230006,0.97294991
1999,       0,00941P40,1.817398198,-1.222998067,-1.075850525,1.976725621,-1.226375078,-1.090668201,1.637053756,-0.720601454,-0.500823074,1.156726654
1999,       0,00949P10,-0.797474032,-0.587864441,0.620261351,-0.392004363,-0.157723481,1.709422997,-0.812226367,-1.290389037,0.825632329,0.693651749
1999,       0,00971T10,1.979312992,-0.216930476,-1.456625197,6.6953604,-1.363863457,-1.426085863,2.876476871,-1.148508667,-1.093150595,2.4845845
1999,       0,00972810,0.358213376,0.463614603,0.884495687,-0.288801202,-0.417723841,0.058864712,0.628590107,0.693861164,0.011434033,0.167262929
